common_name,scientific_name,region,file_type,habitat_distribution,entry_number,subcategory
Bernier's Teal,Anas bernieri,Africa,Geographic,Madagascar - Endemic,22,"Family Anatidae - Ducks, Geese & Swans"
Meller's Duck,Anas melleri,Africa,Geographic,Madagascar,23,"Family Anatidae - Ducks, Geese & Swans"
Northern Shoveler,Anas clypeata,Africa,Geographic,"North Africa, migrant",24,"Family Anatidae - Ducks, Geese & Swans"
Cape Shoveler,Anas smithii,Africa,Geographic,Southern Africa,25,"Family Anatidae - Ducks, Geese & Swans"
Eurasian Wigeon,Anas penelope,Africa,Geographic,"North Africa, migrant",26,"Family Anatidae - Ducks, Geese & Swans"
Gadwall,Anas strepera,Africa,Geographic,"North Africa, migrant",27,"Family Anatidae - Ducks, Geese & Swans"
Eurasian Teal,Anas crecca,Africa,Geographic,"North Africa, migrant",28,"Family Anatidae - Ducks, Geese & Swans"
Garganey,Anas querquedula,Africa,Geographic,Migrant,29,"Family Anatidae - Ducks, Geese & Swans"
Marbled Duck,Marmaronetta angustirostris,Africa,Geographic,North Africa,30,"Family Anatidae - Ducks, Geese & Swans"
Red-crested Pochard,Netta rufina,Africa,Geographic,North Africa,31,"Family Anatidae - Ducks, Geese & Swans"
Southern Pochard,Netta erythrophthalma,Africa,Geographic,Eastern/Southern Africa,32,"Family Anatidae - Ducks, Geese & Swans"
Common Pochard,Aythya ferina,Africa,Geographic,"North Africa, migrant",33,"Family Anatidae - Ducks, Geese & Swans"
Ferruginous Duck,Aythya nyroca,Africa,Geographic,North Africa,34,"Family Anatidae - Ducks, Geese & Swans"
Tufted Duck,Aythya fuligula,Africa,Geographic,"North Africa, migrant",35,"Family Anatidae - Ducks, Geese & Swans"
White-headed Duck,Oxyura leucocephala,Africa,Geographic,North Africa,36,"Family Anatidae - Ducks, Geese & Swans"
Maccoa Duck,Oxyura maccoa,Africa,Geographic,Eastern/Southern Africa,37,"Family Anatidae - Ducks, Geese & Swans"
White-breasted Guineafowl,Agelastes meleagrides,Africa,Geographic,West Africa,38,Family Numididae - Guineafowl
Black Guineafowl,Agelastes niger,Africa,Geographic,West Africa,39,Family Numididae - Guineafowl
Helmeted Guineafowl,Numida meleagris,Africa,Geographic,Widespread,40,Family Numididae - Guineafowl
Plumed Guineafowl,Guttera plumifera,Africa,Geographic,Central Africa,41,Family Numididae - Guineafowl
Crested Guineafowl,Guttera pucherani,Africa,Geographic,East Africa,42,Family Numididae - Guineafowl
Vulturine Guineafowl,Acryllium vulturinum,Africa,Geographic,East Africa,43,Family Numididae - Guineafowl
Stone Partridge,Ptilopachus petrosus,Africa,Geographic,West Africa,44,"Family Phasianidae - Pheasants, Partridges & Allies"
Chukar,Alectoris chukar,Africa,Geographic,North Africa,45,"Family Phasianidae - Pheasants, Partridges & Allies"
Barbary Partridge,Alectoris barbara,Africa,Geographic,North Africa,46,"Family Phasianidae - Pheasants, Partridges & Allies"
Black Francolin,Francolinus francolinus,Africa,Geographic,North Africa,47,"Family Phasianidae - Pheasants, Partridges & Allies"
Painted Francolin,Francolinus pictus,Africa,Geographic,North Africa,48,"Family Phasianidae - Pheasants, Partridges & Allies"
Gray Francolin,Francolinus pondicerianus,Africa,Geographic,North Africa,49,"Family Phasianidae - Pheasants, Partridges & Allies"
Coqui Francolin,Francolinus coqui,Africa,Geographic,Sub-Saharan Africa,50,"Family Phasianidae - Pheasants, Partridges & Allies"
White-throated Francolin,Francolinus albogularis,Africa,Geographic,Sub-Saharan Africa,51,"Family Phasianidae - Pheasants, Partridges & Allies"
Schlegel's Francolin,Francolinus schlegeli,Africa,Geographic,Central Africa,52,"Family Phasianidae - Pheasants, Partridges & Allies"
Forest Francolin,Francolinus lathami,Africa,Geographic,West/Central Africa,53,"Family Phasianidae - Pheasants, Partridges & Allies"
Scaly Francolin,Francolinus squamatus,Africa,Geographic,Sub-Saharan Africa,54,"Family Phasianidae - Pheasants, Partridges & Allies"
Ahanta Francolin,Francolinus ahantensis,Africa,Geographic,West Africa,55,"Family Phasianidae - Pheasants, Partridges & Allies"
Harwood's Francolin,Francolinus harwoodi,Africa,Geographic,Ethiopia,56,"Family Phasianidae - Pheasants, Partridges & Allies"
Red-billed Francolin,Francolinus adspersus,Africa,Geographic,Southern Africa,57,"Family Phasianidae - Pheasants, Partridges & Allies"
Cape Francolin,Francolinus capensis,Africa,Geographic,Southern Africa,58,"Family Phasianidae - Pheasants, Partridges & Allies"
Gray-winged Francolin,Francolinus africanus,Africa,Geographic,Southern Africa,59,"Family Phasianidae - Pheasants, Partridges & Allies"
Red-winged Francolin,Francolinus levaillantii,Africa,Geographic,Southern Africa,60,"Family Phasianidae - Pheasants, Partridges & Allies"
Crested Francolin,Francolinus sephaena,Africa,Geographic,Southern/Eastern Africa,61,"Family Phasianidae - Pheasants, Partridges & Allies"
Shelley's Francolin,Francolinus shelleyi,Africa,Geographic,East Africa,62,"Family Phasianidae - Pheasants, Partridges & Allies"
Finsch's Francolin,Francolinus finschi,Africa,Geographic,Southern Africa,63,"Family Phasianidae - Pheasants, Partridges & Allies"
Chestnut-naped Francolin,Francolinus castaneicollis,Africa,Geographic,Ethiopia,64,"Family Phasianidae - Pheasants, Partridges & Allies"
Erckel's Francolin,Francolinus erckelii,Africa,Geographic,Ethiopia,65,"Family Phasianidae - Pheasants, Partridges & Allies"
Clapperton's Francolin,Francolinus clapperi,Africa,Geographic,West Africa,66,"Family Phasianidae - Pheasants, Partridges & Allies"
Hildebrandt's Francolin,Francolinus hildebrandti,Africa,Geographic,East Africa,67,"Family Phasianidae - Pheasants, Partridges & Allies"
Nahan's Francolin,Francolinus nahani,Africa,Geographic,Central Africa,68,"Family Phasianidae - Pheasants, Partridges & Allies"
Hartlaub's Francolin,Francolinus hartlaubi,Africa,Geographic,Southern Africa,69,"Family Phasianidae - Pheasants, Partridges & Allies"
Orange River Francolin,Francolinus levaillantoides,Africa,Geographic,Southern Africa,70,"Family Phasianidae - Pheasants, Partridges & Allies"
Gedge's Francolin,Francolinus gedgii,Africa,Geographic,East Africa,71,"Family Phasianidae - Pheasants, Partridges & Allies"
Udzungwa Francolin,Francolinus uluensis,Africa,Geographic,Tanzania,72,"Family Phasianidae - Pheasants, Partridges & Allies"
Gray-breasted Francolin,Francolinus rufopictus,Africa,Geographic,East Africa,73,"Family Phasianidae - Pheasants, Partridges & Allies"
Red-necked Francolin,Francolinus afer,Africa,Geographic,Southern Africa,74,"Family Phasianidae - Pheasants, Partridges & Allies"
Swainson's Francolin,Francolinus swainsonii,Africa,Geographic,Southern Africa,75,"Family Phasianidae - Pheasants, Partridges & Allies"
Gray-striped Francolin,Francolinus griseostriatus,Africa,Geographic,Angola,76,"Family Phasianidae - Pheasants, Partridges & Allies"
Ring-necked Francolin,Francolinus streptophorus,Africa,Geographic,East Africa,77,"Family Phasianidae - Pheasants, Partridges & Allies"
Yellow-necked Francolin,Francolinus leucoscepus,Africa,Geographic,East Africa,78,"Family Phasianidae - Pheasants, Partridges & Allies"
Gray-breasted Francolin,Francolinus rufopictus,Africa,Geographic,East Africa,79,"Family Phasianidae - Pheasants, Partridges & Allies"
Djibouti Francolin,Francolinus ochropectus,Africa,Geographic,Djibouti,80,"Family Phasianidae - Pheasants, Partridges & Allies"
Coqui Francolin,Peliperdix coqui,Africa,Geographic,Alternative classification,81,"Family Phasianidae - Pheasants, Partridges & Allies"
Finsch's Francolin,Scleroptila finschi,Africa,Geographic,Alternative classification,82,"Family Phasianidae - Pheasants, Partridges & Allies"
Red-winged Francolin,Scleroptila levaillantii,Africa,Geographic,Alternative classification,83,"Family Phasianidae - Pheasants, Partridges & Allies"
Red-necked Francolin,Scleroptila afra,Africa,Geographic,Alternative classification,84,"Family Phasianidae - Pheasants, Partridges & Allies"
Orange River Francolin,Scleroptila gutturalis,Africa,Geographic,Alternative classification,85,"Family Phasianidae - Pheasants, Partridges & Allies"
Shelley's Francolin,Scleroptila shelleyi,Africa,Geographic,Alternative classification,86,"Family Phasianidae - Pheasants, Partridges & Allies"
Crested Francolin,Dendroperdix sephaena,Africa,Geographic,Alternative classification,87,"Family Phasianidae - Pheasants, Partridges & Allies"
Common Quail,Coturnix coturnix,Africa,Geographic,Widespread,88,"Family Phasianidae - Pheasants, Partridges & Allies"
Harlequin Quail,Coturnix delegorguei,Africa,Geographic,Sub-Saharan Africa,89,"Family Phasianidae - Pheasants, Partridges & Allies"
Blue Quail,Coturnix adansonii,Africa,Geographic,Sub-Saharan Africa,90,"Family Phasianidae - Pheasants, Partridges & Allies"
Greater Flamingo,Phoenicopterus roseus,Africa,Geographic,Widespread,91,Family Phoenicopteridae - Flamingos
Lesser Flamingo,Phoeniconaias minor,Africa,Geographic,Widespread,92,Family Phoenicopteridae - Flamingos
Little Grebe,Tachybaptus ruficollis,Africa,Geographic,Widespread,93,Family Podicipedidae - Grebes
Great Crested Grebe,Podiceps cristatus,Africa,Geographic,Widespread,94,Family Podicipedidae - Grebes
Red-necked Grebe,Podiceps grisegena,Africa,Geographic,"North Africa, migrant",95,Family Podicipedidae - Grebes
Horned Grebe,Podiceps auritus,Africa,Geographic,"North Africa, migrant",96,Family Podicipedidae - Grebes
Black-necked Grebe,Podiceps nigricollis,Africa,Geographic,Widespread,97,Family Podicipedidae - Grebes
Pin-tailed Sandgrouse,Pterocles alchata,Africa,Geographic,North Africa,98,Family Pteroclidae - Sandgrouse
Black-bellied Sandgrouse,Pterocles orientalis,Africa,Geographic,North Africa,99,Family Pteroclidae - Sandgrouse
Crowned Sandgrouse,Pterocles coronatus,Africa,Geographic,North Africa,100,Family Pteroclidae - Sandgrouse
Lichtenstein's Sandgrouse,Pterocles lichtensteinii,Africa,Geographic,North Africa,101,Family Pteroclidae - Sandgrouse
Spotted Sandgrouse,Pterocles senegallus,Africa,Geographic,North Africa,102,Family Pteroclidae - Sandgrouse
Four-banded Sandgrouse,Pterocles quadricinctus,Africa,Geographic,Sub-Saharan Africa,103,Family Pteroclidae - Sandgrouse
Chestnut-bellied Sandgrouse,Pterocles exustus,Africa,Geographic,Sub-Saharan Africa,104,Family Pteroclidae - Sandgrouse
Yellow-throated Sandgrouse,Pterocles gutturalis,Africa,Geographic,Southern Africa,105,Family Pteroclidae - Sandgrouse
Namaqua Sandgrouse,Pterocles namaqua,Africa,Geographic,Southern Africa,106,Family Pteroclidae - Sandgrouse
Black-faced Sandgrouse,Pterocles decoratus,Africa,Geographic,East Africa,107,Family Pteroclidae - Sandgrouse
Madagascar Sandgrouse,Pterocles personatus,Africa,Geographic,Madagascar,108,Family Pteroclidae - Sandgrouse
Double-banded Sandgrouse,Pterocles bicinctus,Africa,Geographic,Southern Africa,109,Family Pteroclidae - Sandgrouse
Burchell's Sandgrouse,Pterocles burchelli,Africa,Geographic,Southern Africa,110,Family Pteroclidae - Sandgrouse
Rock Dove,Columba livia,Africa,Geographic,Widespread,111,Family Columbidae - Pigeons & Doves
Speckled Pigeon,Columba guinea,Africa,Geographic,Sub-Saharan Africa,112,Family Columbidae - Pigeons & Doves
Western Bronze-naped Pigeon,Columba iriditorques,Africa,Geographic,West Africa,113,Family Columbidae - Pigeons & Doves
São Tomé Bronze-naped Pigeon,Columba malherbii,Africa,Geographic,São Tomé,114,Family Columbidae - Pigeons & Doves
Maroon Pigeon,Columba thomensis,Africa,Geographic,São Tomé,115,Family Columbidae - Pigeons & Doves
Afep Pigeon,Columba unicincta,Africa,Geographic,Central Africa,116,Family Columbidae - Pigeons & Doves
Lemon Dove,Columba larvata,Africa,Geographic,Eastern/Southern Africa,117,Family Columbidae - Pigeons & Doves
African Olive-Pigeon,Columba arquatrix,Africa,Geographic,Eastern/Southern Africa,118,Family Columbidae - Pigeons & Doves
Comoro Olive-Pigeon,Columba pollenii,Africa,Geographic,Comoros,119,Family Columbidae - Pigeons & Doves
Eastern Bronze-naped Pigeon,Columba delegorguei,Africa,Geographic,Eastern Africa,120,Family Columbidae - Pigeons & Doves
European Turtle-Dove,Streptopelia turtur,Africa,Geographic,"North Africa, migrant",121,Family Columbidae - Pigeons & Doves
Dusky Turtle-Dove,Streptopelia lugens,Africa,Geographic,Northeast Africa,122,Family Columbidae - Pigeons & Doves
Adamawa Turtle-Dove,Streptopelia hypopyrrha,Africa,Geographic,West/Central Africa,123,Family Columbidae - Pigeons & Doves
Oriental Turtle-Dove,Streptopelia orientalis,Africa,Geographic,Vagrant,124,Family Columbidae - Pigeons & Doves
Red-eyed Dove,Streptopelia semitorquata,Africa,Geographic,Sub-Saharan Africa,125,Family Columbidae - Pigeons & Doves
Ring-necked Dove,Streptopelia capicola,Africa,Geographic,Sub-Saharan Africa,126,Family Columbidae - Pigeons & Doves
African Collared-Dove,Streptopelia roseogrisea,Africa,Geographic,Sub-Saharan Africa,127,Family Columbidae - Pigeons & Doves
Vinaceous Dove,Streptopelia vinacea,Africa,Geographic,Sub-Saharan Africa,128,Family Columbidae - Pigeons & Doves
White-winged Collared-Dove,Streptopelia reichenowi,Africa,Geographic,East Africa,129,Family Columbidae - Pigeons & Doves
Mourning Collared-Dove,Streptopelia decipiens,Africa,Geographic,Sub-Saharan Africa,130,Family Columbidae - Pigeons & Doves
Laughing Dove,Streptopelia senegalensis,Africa,Geographic,Widespread,131,Family Columbidae - Pigeons & Doves
Red Collared-Dove,Streptopelia tranquebarica,Africa,Geographic,Vagrant,132,Family Columbidae - Pigeons & Doves
Madagascar Turtle-Dove,Streptopelia picturata,Africa,Geographic,Madagascar,133,Family Columbidae - Pigeons & Doves
Madagascar Turtle-Dove,Nesoenas picturata,Africa,Geographic,Alternative classification,134,Family Columbidae - Pigeons & Doves
Pink Pigeon,Nesoenas mayeri,Africa,Geographic,Mauritius,135,Family Columbidae - Pigeons & Doves
Namaqua Dove,Oena capensis,Africa,Geographic,Sub-Saharan Africa,136,Family Columbidae - Pigeons & Doves
Emerald Dove,Chalcophaps indica,Africa,Geographic,Vagrant,137,Family Columbidae - Pigeons & Doves
Emerald-spotted Wood-Dove,Turtur chalcospilos,Africa,Geographic,Sub-Saharan Africa,138,Family Columbidae - Pigeons & Doves
Black-billed Wood-Dove,Turtur abyssinicus,Africa,Geographic,Sub-Saharan Africa,139,Family Columbidae - Pigeons & Doves
Blue-spotted Wood-Dove,Turtur afer,Africa,Geographic,Sub-Saharan Africa,140,Family Columbidae - Pigeons & Doves
Tambourine Dove,Turtur tympanistria,Africa,Geographic,Sub-Saharan Africa,141,Family Columbidae - Pigeons & Doves
Blue-headed Wood-Dove,Turtur brehmeri,Africa,Geographic,West/Central Africa,142,Family Columbidae - Pigeons & Doves
Lemon Dove,Aplopelia larvata,Africa,Geographic,Alternative classification,143,Family Columbidae - Pigeons & Doves
African Green-Pigeon,Treron calvus,Africa,Geographic,Sub-Saharan Africa,144,Family Columbidae - Pigeons & Doves
Bruce's Green-Pigeon,Treron waalia,Africa,Geographic,Northeast Africa,145,Family Columbidae - Pigeons & Doves
Madagascar Green-Pigeon,Treron australis,Africa,Geographic,Madagascar,146,Family Columbidae - Pigeons & Doves
Pink-headed Fruit-Dove,Ptilinopus porphyraceus,Africa,Geographic,Vagrant,147,Family Columbidae - Pigeons & Doves
Madagascar Blue-Pigeon,Alectroenas madagascariensis,Africa,Geographic,Madagascar,148,Family Columbidae - Pigeons & Doves
Comoro Blue-Pigeon,Alectroenas sganzini,Africa,Geographic,Comoros,149,Family Columbidae - Pigeons & Doves
Seychelles Blue-Pigeon,Alectroenas pulcherrimus,Africa,Geographic,Seychelles,150,Family Columbidae - Pigeons & Doves
Little Bustard,Tetrax tetrax,Africa,Geographic,North Africa,151,Family Otididae - Bustards
Great Bustard,Otis tarda,Africa,Geographic,"North Africa, vagrant",152,Family Otididae - Bustards
Houbara Bustard,Chlamydotis undulata,Africa,Geographic,North Africa,153,Family Otididae - Bustards
Macqueen's Bustard,Chlamydotis macqueenii,Africa,Geographic,North Africa,154,Family Otididae - Bustards
Kori Bustard,Ardeotis kori,Africa,Geographic,Eastern/Southern Africa,155,Family Otididae - Bustards
Arabian Bustard,Ardeotis arabs,Africa,Geographic,Northeast Africa,156,Family Otididae - Bustards
Great Indian Bustard,Ardeotis nigriceps,Africa,Geographic,Vagrant,157,Family Otididae - Bustards
Denham's Bustard,Neotis denhami,Africa,Geographic,Sub-Saharan Africa,158,Family Otididae - Bustards
Nubian Bustard,Neotis nuba,Africa,Geographic,Northeast Africa,159,Family Otididae - Bustards
Heuglin's Bustard,Neotis heuglinii,Africa,Geographic,Northeast Africa,160,Family Otididae - Bustards
Ludwig's Bustard,Neotis ludwigii,Africa,Geographic,Southern Africa,161,Family Otididae - Bustards
Black Bustard,Afrotis afra,Africa,Geographic,Southern Africa,162,Family Otididae - Bustards
White-quilled Bustard,Afrotis afraoides,Africa,Geographic,Southern Africa,163,Family Otididae - Bustards
White-bellied Bustard,Eupodotis senegalensis,Africa,Geographic,Sub-Saharan Africa,164,Family Otididae - Bustards
Blue Bustard,Eupodotis caerulescens,Africa,Geographic,Southern Africa,165,Family Otididae - Bustards
Karoo Bustard,Eupodotis vigorsii,Africa,Geographic,Southern Africa,166,Family Otididae - Bustards
Rüppell's Bustard,Eupodotis rueppellii,Africa,Geographic,Southern Africa,167,Family Otididae - Bustards
Little Brown Bustard,Eupodotis humilis,Africa,Geographic,East Africa,168,Family Otididae - Bustards
Buff-crested Bustard,Eupodotis gindiana,Africa,Geographic,East Africa,169,Family Otididae - Bustards
Black-bellied Bustard,Eupodotis melanogaster,Africa,Geographic,Sub-Saharan Africa,170,Family Otididae - Bustards
Hartlaub's Bustard,Eupodotis hartlaubii,Africa,Geographic,Southern Africa,171,Family Otididae - Bustards
Black-bellied Bustard,Lissotis melanogaster,Africa,Geographic,Alternative classification,172,Family Otididae - Bustards
Common Cuckoo,Cuculus canorus,Africa,Geographic,"Widespread, migrant",173,Family Cuculidae - Cuckoos
African Cuckoo,Cuculus gularis,Africa,Geographic,Sub-Saharan Africa,174,Family Cuculidae - Cuckoos
Red-chested Cuckoo,Cuculus solitarius,Africa,Geographic,Sub-Saharan Africa,175,Family Cuculidae - Cuckoos
Black Cuckoo,Cuculus clamosus,Africa,Geographic,Sub-Saharan Africa,176,Family Cuculidae - Cuckoos
Madagascar Cuckoo,Cuculus rochii,Africa,Geographic,Madagascar,177,Family Cuculidae - Cuckoos
Red-throated Wryneck,Cercococcyx mechowii,Africa,Geographic,Central Africa,178,Family Cuculidae - Cuckoos
Olive Long-tailed Cuckoo,Cercococcyx olivinus,Africa,Geographic,West/Central Africa,179,Family Cuculidae - Cuckoos
Barred Long-tailed Cuckoo,Cercococcyx montanus,Africa,Geographic,Central Africa,180,Family Cuculidae - Cuckoos
Plaintive Cuckoo,Cacomantis merulinus,Africa,Geographic,Vagrant,181,Family Cuculidae - Cuckoos
Banded Bay Cuckoo,Cacomantis sonneratii,Africa,Geographic,Vagrant,182,Family Cuculidae - Cuckoos
African Emerald Cuckoo,Chrysococcyx cupreus,Africa,Geographic,Sub-Saharan Africa,183,Family Cuculidae - Cuckoos
Klaas's Cuckoo,Chrysococcyx klaas,Africa,Geographic,Sub-Saharan Africa,184,Family Cuculidae - Cuckoos
Dideric Cuckoo,Chrysococcyx caprius,Africa,Geographic,Sub-Saharan Africa,185,Family Cuculidae - Cuckoos
Shining Bronze-Cuckoo,Chrysococcyx lucidus,Africa,Geographic,Vagrant,186,Family Cuculidae - Cuckoos
Great Spotted Cuckoo,Clamator glandarius,Africa,Geographic,Widespread,187,Family Cuculidae - Cuckoos
Levaillant's Cuckoo,Clamator levaillantii,Africa,Geographic,Sub-Saharan Africa,188,Family Cuculidae - Cuckoos
Pied Cuckoo,Clamator jacobinus,Africa,Geographic,Sub-Saharan Africa,189,Family Cuculidae - Cuckoos
Pied Cuckoo,Oxylophus jacobinus,Africa,Geographic,Alternative classification,190,Family Cuculidae - Cuckoos
Thick-billed Cuckoo,Pachycoccyx audeberti,Africa,Geographic,Sub-Saharan Africa,191,Family Cuculidae - Cuckoos
Yellowbill,Ceuthmochares aereus,Africa,Geographic,Sub-Saharan Africa,192,Family Cuculidae - Cuckoos
Yellow-billed Cuckoo,Coccyzus americanus,Africa,Geographic,Vagrant,193,Family Cuculidae - Cuckoos
Blue Coua,Coua caerulea,Africa,Geographic,Madagascar,194,Family Cuculidae - Cuckoos
Crested Coua,Coua cristata,Africa,Geographic,Madagascar,195,Family Cuculidae - Cuckoos
Running Coua,Coua cursor,Africa,Geographic,Madagascar,196,Family Cuculidae - Cuckoos
Snail-eating Coua,Coua delalandei,Africa,Geographic,Madagascar - Extinct,197,Family Cuculidae - Cuckoos
Giant Coua,Coua gigas,Africa,Geographic,Madagascar,198,Family Cuculidae - Cuckoos
Coquerel's Coua,Coua coquereli,Africa,Geographic,Madagascar,199,Family Cuculidae - Cuckoos
Red-breasted Coua,Coua serriana,Africa,Geographic,Madagascar,200,Family Cuculidae - Cuckoos
Red-capped Coua,Coua ruficeps,Africa,Geographic,Madagascar,201,Family Cuculidae - Cuckoos
Red-fronted Coua,Coua reynaudii,Africa,Geographic,Madagascar,202,Family Cuculidae - Cuckoos
Verreaux's Coua,Coua verreauxi,Africa,Geographic,Madagascar,203,Family Cuculidae - Cuckoos
White-browed Coucal,Centropus superciliosus,Africa,Geographic,Sub-Saharan Africa,204,Family Cuculidae - Cuckoos
Black Coucal,Centropus grillii,Africa,Geographic,Sub-Saharan Africa,205,Family Cuculidae - Cuckoos
Senegal Coucal,Centropus senegalensis,Africa,Geographic,Sub-Saharan Africa,206,Family Cuculidae - Cuckoos
Blue-headed Coucal,Centropus monachus,Africa,Geographic,West/Central Africa,207,Family Cuculidae - Cuckoos
White-bellied Coucal,Centropus leucogaster,Africa,Geographic,Sub-Saharan Africa,208,Family Cuculidae - Cuckoos
Gabon Coucal,Centropus anselli,Africa,Geographic,Central Africa,209,Family Cuculidae - Cuckoos
Coppery-tailed Coucal,Centropus cupreicaudus,Africa,Geographic,Southern Africa,210,Family Cuculidae - Cuckoos
Burchell's Coucal,Centropus burchellii,Africa,Geographic,Southern Africa,211,Family Cuculidae - Cuckoos
Madagascar Coucal,Centropus toulou,Africa,Geographic,Madagascar,212,Family Cuculidae - Cuckoos
Barn Owl,Tyto alba,Africa,Geographic,Widespread,213,Family Tytonidae - Barn Owls
African Grass-Owl,Tyto capensis,Africa,Geographic,Sub-Saharan Africa,214,Family Tytonidae - Barn Owls
Madagascar Red Owl,Tyto soumagnei,Africa,Geographic,Madagascar,215,Family Tytonidae - Barn Owls
Eurasian Scops-Owl,Otus scops,Africa,Geographic,"North Africa, migrant",216,Family Strigidae - True Owls
African Scops-Owl,Otus senegalensis,Africa,Geographic,Sub-Saharan Africa,217,Family Strigidae - True Owls
White-faced Scops-Owl,Otus leucotis,Africa,Geographic,Sub-Saharan Africa,218,Family Strigidae - True Owls
Sandy Scops-Owl,Otus icterorhynchus,Africa,Geographic,Sub-Saharan Africa,219,Family Strigidae - True Owls
Sokoke Scops-Owl,Otus ireneae,Africa,Geographic,East Africa,220,Family Strigidae - True Owls
Pemba Scops-Owl,Otus pembaensis,Africa,Geographic,Pemba Island,221,Family Strigidae - True Owls
Madagascar Scops-Owl,Otus rutilus,Africa,Geographic,Madagascar,222,Family Strigidae - True Owls
Torotoroka Scops-Owl,Otus madagascariensis,Africa,Geographic,Madagascar,223,Family Strigidae - True Owls
Moheli Scops-Owl,Otus moheliensis,Africa,Geographic,Comoros,224,Family Strigidae - True Owls
Comoro Scops-Owl,Otus pauliani,Africa,Geographic,Comoros,225,Family Strigidae - True Owls
Seychelles Scops-Owl,Otus insularis,Africa,Geographic,Seychelles,226,Family Strigidae - True Owls
Northern White-faced Owl,Ptilopsis leucotis,Africa,Geographic,Sub-Saharan Africa,227,Family Strigidae - True Owls
Southern White-faced Owl,Ptilopsis granti,Africa,Geographic,Southern Africa,228,Family Strigidae - True Owls
Spotted Eagle-Owl,Bubo africanus,Africa,Geographic,Sub-Saharan Africa,229,Family Strigidae - True Owls
Grayish Eagle-Owl,Bubo cinerascens,Africa,Geographic,West/Central Africa,230,Family Strigidae - True Owls
Fraser's Eagle-Owl,Bubo poensis,Africa,Geographic,West/Central Africa,231,Family Strigidae - True Owls
Spot-bellied Eagle-Owl,Bubo nipalensis,Africa,Geographic,Vagrant,232,Family Strigidae - True Owls
Cape Eagle-Owl,Bubo capensis,Africa,Geographic,Southern Africa,233,Family Strigidae - True Owls
Verreaux's Eagle-Owl,Bubo lacteus,Africa,Geographic,Sub-Saharan Africa,234,Family Strigidae - True Owls
Akun Eagle-Owl,Bubo leucostictus,Africa,Geographic,West/Central Africa,235,Family Strigidae - True Owls
Shelley's Eagle-Owl,Bubo shelleyi,Africa,Geographic,Central Africa,236,Family Strigidae - True Owls
Usambara Eagle-Owl,Bubo vosseleri,Africa,Geographic,Tanzania,237,Family Strigidae - True Owls
Brown Fish-Owl,Ketupa zeylonensis,Africa,Geographic,Vagrant,238,Family Strigidae - True Owls
Pel's Fishing-Owl,Scotopelia peli,Africa,Geographic,Sub-Saharan Africa,239,Family Strigidae - True Owls
Rufous Fishing-Owl,Scotopelia ussheri,Africa,Geographic,West Africa,240,Family Strigidae - True Owls
